,around_url
0,https://recotripp.com/area/district-4
1,https://recotripp.com/area/district-1
2,https://recotripp.com/area/district-1
3,https://recotripp.com/area/district-2
4,https://recotripp.com/area/district-8
5,https://recotripp.com/area/district-1
6,https://recotripp.com/area/district-1
7,https://recotripp.com/area/district-1
8,https://recotripp.com/area/district-1
9,https://recotripp.com/area/district-1
10,https://recotripp.com/area/district-3
11,https://recotripp.com/area/district-3
12,https://recotripp.com/area/district-3
13,https://recotripp.com/area/district-3
14,https://recotripp.com/area/district-5
15,https://recotripp.com/area/district-12
16,https://recotripp.com/area/district-2
17,https://recotripp.com/area/district-2
18,https://recotripp.com/area/district-4
19,https://recotripp.com/area/district-4
20,https://recotripp.com/area/district-11
21,https://recotripp.com/area/district-10
22,https://recotripp.com/area/district-13
23,https://recotripp.com/area/district-6
24,https://recotripp.com/area/district-6
25,https://recotripp.com/area/district-1
26,https://recotripp.com/area/district-6
27,https://recotripp.com/area/district-11
28,https://recotripp.com/area/district-1
29,https://recotripp.com/area/district-8
30,https://recotripp.com/area/district-5
31,https://recotripp.com/area/district-73
32,https://recotripp.com/area/district-72
33,https://recotripp.com/area/district-68
34,https://recotripp.com/area/district-73
35,https://recotripp.com/area/district-52
36,https://recotripp.com/area/district-72
37,https://recotripp.com/area/district-68
38,https://recotripp.com/area/district-74
39,https://recotripp.com/area/district-72
40,https://recotripp.com/area/district-70
41,https://recotripp.com/area/district-71
42,https://recotripp.com/area/district-71
43,https://recotripp.com/area/district-75
44,https://recotripp.com/area/district-73
45,https://recotripp.com/area/district-69
46,https://recotripp.com/area/district-77
47,https://recotripp.com/area/district-80
48,https://recotripp.com/area/district-77
49,https://recotripp.com/area/district-80
50,https://recotripp.com/area/district-81
51,https://recotripp.com/area/district-79
52,https://recotripp.com/area/district-77
53,https://recotripp.com/area/district-81
54,https://recotripp.com/area/district-79
55,https://recotripp.com/area/district-77
56,https://recotripp.com/area/district-77
57,https://recotripp.com/area/district-81
58,https://recotripp.com/area/district-80
59,https://recotripp.com/area/district-80
60,https://recotripp.com/area/district-81
61,https://recotripp.com/area/district-80
62,https://recotripp.com/area/district-79
63,https://recotripp.com/area/district-78
64,https://recotripp.com/area/district-80
65,https://recotripp.com/area/district-77
66,https://recotripp.com/area/district-77
67,https://recotripp.com/area/district-85
68,https://recotripp.com/area/district-85
